,group,axis,value,description
1,Clinically isolated syndrome,Facial Paralysis,17.24137931034483,"[symptoms2]:Paralysis of half or whole face (i.e. facial drooping with altered smile, difficulty closing an eye tightly or wrinkling forehead) (Paralysis1)"
2,Relapsing remitting,Facial Paralysis,27.73892773892774,"[symptoms2]:Paralysis of half or whole face (i.e. facial drooping with altered smile, difficulty closing an eye tightly or wrinkling forehead) (Paralysis1)"
3,Secondary progressive,Facial Paralysis,29.00232018561485,"[symptoms2]:Paralysis of half or whole face (i.e. facial drooping with altered smile, difficulty closing an eye tightly or wrinkling forehead) (Paralysis1)"
4,Primary progressive,Facial Paralysis,14.34108527131783,"[symptoms2]:Paralysis of half or whole face (i.e. facial drooping with altered smile, difficulty closing an eye tightly or wrinkling forehead) (Paralysis1)"
5,Not Sure,Facial Paralysis,21.875,"[symptoms2]:Paralysis of half or whole face (i.e. facial drooping with altered smile, difficulty closing an eye tightly or wrinkling forehead) (Paralysis1)"
6,Clinically isolated syndrome,Facial Twitching,19.54022988505747,[symptoms2]:Facial twitching (FacialTwitching)
7,Relapsing remitting,Facial Twitching,40.32634032634033,[symptoms2]:Facial twitching (FacialTwitching)
8,Secondary progressive,Facial Twitching,34.33874709976798,[symptoms2]:Facial twitching (FacialTwitching)
9,Primary progressive,Facial Twitching,23.643410852713178,[symptoms2]:Facial twitching (FacialTwitching)
10,Not Sure,Facial Twitching,34.375,[symptoms2]:Facial twitching (FacialTwitching)
11,Clinically isolated syndrome,Slowed/Slurred Speech,25.287356321839084,[symptoms2]:Speech articulation (speech sounds slurred or slowed or loses normal rhythm) (SpeechArticulation)
12,Relapsing remitting,Slowed/Slurred Speech,49.805749805749805,[symptoms2]:Speech articulation (speech sounds slurred or slowed or loses normal rhythm) (SpeechArticulation)
13,Secondary progressive,Slowed/Slurred Speech,55.68445475638051,[symptoms2]:Speech articulation (speech sounds slurred or slowed or loses normal rhythm) (SpeechArticulation)
14,Primary progressive,Slowed/Slurred Speech,43.02325581395349,[symptoms2]:Speech articulation (speech sounds slurred or slowed or loses normal rhythm) (SpeechArticulation)
15,Not Sure,Slowed/Slurred Speech,56.25,[symptoms2]:Speech articulation (speech sounds slurred or slowed or loses normal rhythm) (SpeechArticulation)
16,Clinically isolated syndrome,Difficulty Swallowing,18.39080459770115,[symptoms2]:Difficulty with swallowing (Difficultyswallowing1)
17,Relapsing remitting,Difficulty Swallowing,41.49184149184149,[symptoms2]:Difficulty with swallowing (Difficultyswallowing1)
18,Secondary progressive,Difficulty Swallowing,49.651972157772626,[symptoms2]:Difficulty with swallowing (Difficultyswallowing1)
19,Primary progressive,Difficulty Swallowing,47.286821705426355,[symptoms2]:Difficulty with swallowing (Difficultyswallowing1)
20,Not Sure,Difficulty Swallowing,39.0625,[symptoms2]:Difficulty with swallowing (Difficultyswallowing1)
